monsoon_year,Change_Class,driver,min_value,q25,median_value,q75,max_value,n_months,dominant_range,full_range
2022,accretion,eastward_wind_mean,0.15,1.1624999,3.5,4.9775,5.96,12,1.162 to 4.977,0.150 to 5.960
2022,accretion,northward_wind_mean,-1.33,-0.089999996,0.114999995,0.1825,0.41,12,-0.090 to 0.183,-1.330 to 0.410
2022,accretion,uo_mean,-0.33448285,-0.012054811,0.041505173,0.16663107,0.22034363,12,-0.012 to 0.167,-0.334 to 0.220
2022,accretion,vo_mean,-0.18860438,-0.13214514,-0.083010346,-0.045014802,0.14404736,12,-0.132 to -0.045,-0.189 to 0.144
2022,accretion,zos_mean,0.41505173,0.4667043,0.5236976,0.56764424,0.72328866,12,0.467 to 0.568,0.415 to 0.723
2023,stable,VHM0_mean,1.0983871,1.2290252,1.5643749,2.1799242,2.4740322,12,1.229 to 2.180,1.098 to 2.474
2023,stable,VMDR_mean,174.24936,186.74574,205.2008,217.09808,223.6806,12,186.746 to 217.098,174.249 to 223.681
2023,stable,VTPK_mean,11.361653,11.973942,12.60409,13.211897,14.196125,12,11.974 to 13.212,11.362 to 14.196
2023,stable,eastward_wind_mean,-0.5,1.1325,3.125,5.3450003,5.74,12,1.133 to 5.345,-0.500 to 5.740
2023,stable,northward_wind_mean,-1.48,-1.0024999,-0.044999998,0.2275,0.92,12,-1.002 to 0.228,-1.480 to 0.920
2023,stable,uo_mean,-0.21851254,-0.03402814,0.04119999,0.19943845,0.32837915,12,-0.034 to 0.199,-0.219 to 0.328
2023,stable,vo_mean,-0.24414808,-0.19837031,-0.0799585,-0.021668142,0.06653035,12,-0.198 to -0.022,-0.244 to 0.067
2023,stable,zos_mean,0.37415692,0.4564806,0.49867243,0.5626087,0.61342204,12,0.456 to 0.563,0.374 to 0.613
2024,erosion,VHM0_mean,1.0958871,1.2167728,1.4342742,1.9873528,2.3221774,11,1.217 to 1.987,1.096 to 2.322
2024,erosion,VMDR_mean,169.77646,173.38213,186.57698,198.36107,227.5153,11,173.382 to 198.361,169.776 to 227.515
2024,erosion,VTPK_mean,11.440001,12.510283,12.982138,13.132521,14.032258,11,12.510 to 13.133,11.440 to 14.032
2024,erosion,eastward_wind_mean,-0.19,0.035,0.92,4.4449997,5.45,11,0.035 to 4.445,-0.190 to 5.450
2024,erosion,northward_wind_mean,-0.08,0.255,0.36,0.8,1.88,11,0.255 to 0.800,-0.080 to 1.880
2024,erosion,uo_mean,-0.12390515,-0.08606219,0.009765923,0.2108829,0.2844325,11,-0.086 to 0.211,-0.124 to 0.284
2024,erosion,vo_mean,-0.20874661,-0.14404736,-0.03357036,0.018311106,0.093386635,11,-0.144 to 0.018,-0.209 to 0.093
2024,erosion,zos_mean,0.3704947,0.44038206,0.4931791,0.5186621,0.55330056,11,0.440 to 0.519,0.370 to 0.553
