monsoon_year,year_month,uo_max,uo_mean,vo_max,vo_mean,zos_max,zos_mean
2021,2021-11,0.10681479,0.10681479,-0.06836146,-0.06836146,0.5615406,0.5615406
2021,2021-12,-0.024414808,-0.024414808,0.020752586,0.020752586,0.72359383,0.72359383
2021,2022-01,-0.05859554,-0.05859554,0.051881466,0.051881466,0.6357005,0.6357005
2021,2022-02,-0.026856288,-0.026856288,0.024414808,0.024414808,0.58412427,0.58412427
2021,2022-03,-0.0024414808,-0.0024414808,0.018921476,0.018921476,0.52522355,0.52522355
2022,2022-04,0.020142216,0.020142216,0.03784295,0.03784295,0.5148473,0.5148473
2022,2022-05,0.0982696,0.0982696,-0.084231086,-0.084231086,0.49287394,0.49287394
2022,2022-06,0.07446516,0.07446516,-0.070192575,-0.070192575,0.49623096,0.49623096
2022,2022-07,0.07446516,0.07446516,-0.08545183,-0.08545183,0.41718802,0.41718802
2022,2022-08,0.09155553,0.09155553,-0.08789331,-0.08789331,0.38178656,0.38178656
2022,2022-09,0.05859554,0.05859554,-0.038453322,-0.038453322,0.42603838,0.42603838
2022,2022-10,0.011597034,0.011597034,-0.008545183,-0.008545183,0.46723837,0.46723837
2022,2022-11,0.03234962,0.03234962,-0.03295999,-0.03295999,0.5349895,0.5349895
2022,2022-12,0.0,0.0,-0.017700735,-0.017700735,0.59724724,0.59724724
2022,2023-01,-0.06653035,-0.06653035,0.027466659,0.027466659,0.610065,0.610065
2022,2023-02,-0.02990814,-0.02990814,0.03723258,0.03723258,0.56215096,0.56215096
2022,2023-03,0.0073244423,0.0073244423,0.028077029,0.028077029,0.565508,0.565508
2023,2023-04,-0.03662221,-0.03662221,0.06103702,0.06103702,0.5578784,0.5578784
2023,2023-05,0.057985168,0.057985168,-0.02929777,-0.02929777,0.5020295,0.5020295
2023,2023-06,0.046388134,0.046388134,-0.028077029,-0.028077029,0.47639394,0.47639394
2023,2023-07,0.093386635,0.093386635,-0.10864589,-0.10864589,0.37720877,0.37720877
2023,2023-08,0.025635548,0.025635548,0.017090365,0.017090365,0.40314952,0.40314952
2023,2023-09,0.043946654,0.043946654,0.040894803,0.040894803,0.441908,0.441908
2023,2023-10,-0.03173925,-0.03173925,0.095828116,0.095828116,0.5258339,0.5258339
2023,2023-11,-0.0036622211,-0.0036622211,0.018311106,0.018311106,0.5136265,0.5136265
2023,2023-12,-0.051271096,-0.051271096,0.06591998,0.06591998,0.44892728,0.44892728
2023,2024-01,-0.017700735,-0.017700735,0.070192575,0.070192575,0.51454204,0.51454204
2023,2024-02,-0.009155553,-0.009155553,0.03357036,0.03357036,0.5484176,0.5484176
2023,2024-03,0.03723258,0.03723258,-0.051881466,-0.051881466,0.57527393,0.57527393
