feature,driver,spearman_rho,spearman_p,kruskal_h,kruskal_p,mutual_info,composite_score
northward_wind_max__anom_peak_neg,northward_wind_max,-0.5973696986377506,0.04025961934907364,6.391025641025649,0.1717874636993743,0.1479437229437235,2.107691652484199
northward_wind_mean__anom_peak_neg,northward_wind_mean,-0.5973696986377506,0.04025961934907364,6.391025641025649,0.1717874636993743,0.14404761904761942,2.1037955485880953
VMDR_mean__anom_mean,VMDR_mean,0.6765391767704644,0.015693344457472964,5.871794871794876,0.20892947691267288,0.070598845598846,2.103677482195153
eastward_wind_max__anom_pos_months,eastward_wind_max,0.6666768415991947,0.01789773802423703,6.33272283272284,0.17564008954312793,0.010209235209235334,2.0989392685649424
VSDX_max__iqr,VSDX_max,-0.5281208487923714,0.07756795462786727,7.728947368421056,0.10202726897307983,0.05075757575757622,2.098283011558709
eastward_wind_mean__p50,eastward_wind_mean,0.5973696986377506,0.04025961934907364,6.641025641025635,0.15611869169172954,0.073953823953824,2.0752383180834046
eastward_wind_mean__anom_peak_pos,eastward_wind_mean,0.5901724733529584,0.043371902076606475,5.384615384615387,0.2500595876648893,0.29253246753246787,2.0748339035228067
VSDX_mean__anom_mean,VSDX_mean,0.5901724733529584,0.043371902076606475,5.384615384615387,0.2500595876648893,0.28874458874458897,2.071046024734928
eastward_wind_max__anom_peak_pos,eastward_wind_max,0.5901724733529584,0.043371902076606475,5.384615384615387,0.2500595876648893,0.2872294372294375,2.0695308732197764
VHM0_mean__iqr,VHM0_mean,0.5110029952202445,0.08953657170537631,7.564102564102562,0.10891563480037604,0.06212121212121269,2.0470369755094975
eastward_wind_mean__run_pos,eastward_wind_mean,0.5094780674715722,0.09065979527459389,4.125000000000001,0.38935318210435865,0.60443722943723,2.0330496359321275
VSDX_mean__p50,VSDX_mean,0.5793766354257701,0.0483540548174844,6.602564102564102,0.15844164535542268,0.07384559884559927,2.032729525957911
zos_mean__anom_peak_neg,zos_mean,0.38865016537877745,0.21182446931281418,6.923076923076927,0.14000952703283903,0.3888888888888893,2.0200316311292683
VHM0_mean__p50,VHM0_mean,0.47861548143867966,0.11546838272073812,7.2948717948717885,0.12110222566798383,0.1406204906204911,2.0146993286299764
VHM0_mean__anom_abs_sum,VHM0_mean,-0.28788901139168704,0.3642014741833626,7.948717948717949,0.09347488752100819,0.3870129870129875,1.992096058554759
VSDX_mean__anom_peak_neg,VSDX_mean,0.6477502756312957,0.02275180607257669,5.769230769230774,0.2170578424709319,0.0,1.9589250694004547
eastward_wind_mean__p10,eastward_wind_mean,0.5901724733529584,0.043371902076606475,5.9807692307692335,0.20058904937620226,0.05710678210678233,1.9351445086271386
uo_max__p10,uo_max,-0.6657433388432762,0.018117538640099008,5.352564102564109,0.25299637410397285,0.0,1.9283723806905226
uo_mean__p10,uo_mean,-0.6657433388432762,0.018117538640099008,5.352564102564109,0.25299637410397285,0.0,1.9283723806905226
eastward_wind_max__p10,eastward_wind_max,0.5901724733529584,0.043371902076606475,5.9807692307692335,0.20058904937620226,0.04574314574314586,1.9237808722635021
VHM0_max__p90,VHM0_max,0.22350506911349508,0.48499514248748576,8.158333333333335,0.08594742898394948,0.40465367965368015,1.9174309280658564
VSDX_mean__p90,VSDX_mean,0.6333558250617114,0.027036871407390067,5.621794871794876,0.2292292402501527,0.0,1.906441635127536
VSDY_mean__anom_mean,VSDY_mean,-0.5038057699354522,0.09492122642425428,5.769230769230774,0.2170578424709319,0.19491341991342037,1.8659494779221881
eastward_wind_mean__anom_mean,eastward_wind_mean,0.5901724733529584,0.043371902076606475,5.384615384615387,0.2500595876648893,0.06955266955266981,1.8518541055430087
VHM0_mean__run_neg,VHM0_mean,-0.590717348824197,0.043130510663236726,5.782189542483665,0.21601569303219362,0.0,1.8469493948763844
VMDR_mean__run_neg,VMDR_mean,-0.5851448271193315,0.04564455693574567,5.007641921397383,0.286514284732223,0.13279220779220813,1.8459355825820494
eastward_wind_max__run_pos,eastward_wind_max,0.5094780674715722,0.09065979527459389,4.125000000000001,0.38935318210435865,0.37478354978355033,1.8033959562784476
northward_wind_max__run_neg,northward_wind_max,0.3772968873135194,0.22663918089257604,4.989542483660139,0.28837218582566465,0.49953102453102494,1.7941714298115379
eastward_wind_max__anom_mean,eastward_wind_max,0.5901724733529584,0.043371902076606475,5.384615384615387,0.2500595876648893,0.011111111111111294,1.7934125471014501
VHM0_max__run_pos,VHM0_max,0.29160592175990213,0.3577604995364959,5.808673469387757,0.21389953942992573,0.5397546897546901,1.7927566838260276
zos_max__slope,zos_max,0.16193756890782393,0.615091187153781,7.961538461538467,0.09299729356991274,0.4326118326118329,1.7880166606296886
VMDR_mean__late_minus_early,VMDR_mean,0.5577849595713936,0.059502093256878046,5.814102564102562,0.21346800001526553,0.0,1.786237137945459
VSDY_max__anom_neg_months,VSDY_max,0.5277028901370147,0.077846386852756,3.852981029810304,0.42626818596814564,0.35555555555555585,1.7812784150370846
VSDX_max__p90,VSDX_max,0.3564225540521209,0.25545320237627334,6.208779761904756,0.1840895826978203,0.32503607503607546,1.7728519698911844
VHM0_mean__slope,VHM0_mean,-0.3526640389548166,0.26085771567312754,7.314102564102562,0.12019152026010786,0.134848484848485,1.7603027343070101
VHM0_mean__late_minus_early,VHM0_mean,-0.44982658029951095,0.1423090909242519,6.679487179487182,0.15382674781183986,0.0,1.712621302262915
northward_wind_mean__p50,northward_wind_mean,-0.3850515527363814,0.21645487821960704,5.910256410256409,0.20595137361440427,0.25606060606060654,1.7123990186563207
VMDR_mean__anom_peak_neg,VMDR_mean,0.6081655365649388,0.03589363687150134,4.679487179487182,0.32179211251610584,0.0,1.7087556782776125
northward_wind_mean__run_neg,northward_wind_mean,0.3772968873135194,0.22663918089257604,4.989542483660139,0.28837218582566465,0.39267676767676774,1.6873171729572807
