feature,boundary,horizon,target_date,predicted_threshold,low_95,high_95,direction_to_accretion,history_points
wind_speed_max__p50,accretion_onset,H6,2024-08,4.640570849121218,3.99907942790385,5.2229731497379985,direct,4
wind_speed_max__p50,accretion_onset,H12,2025-02,4.781225120321665,4.000415158531586,5.439443125075985,direct,4
wind_speed_max__p50,accretion_onset,H18,2025-08,4.921879391522111,4.0017508891593225,5.655913100413971,direct,4
wind_speed_max__p50,accretion_onset,H24,2026-02,5.062533662722558,4.00308661978706,5.872383075751958,direct,4
VSDX_mean__p10,severe_erosion,H6,2024-08,-0.0027337757285353786,-0.0029458693125074,-0.0015369033443046799,direct,5
VSDX_mean__p10,severe_erosion,H12,2025-02,-0.00271081653334046,-0.0029570164385802626,-0.001368406146395304,direct,5
VSDX_mean__p10,severe_erosion,H18,2025-08,-0.002687857338145541,-0.0029681635646531188,-0.001199908948485931,direct,5
VSDX_mean__p10,severe_erosion,H24,2026-02,-0.0026648981429506224,-0.0029793106907259814,-0.001031411750576558,direct,5
VSDX_mean__p10,strong_accretion,H6,2024-08,-0.011357799893840337,-0.011533581097574686,-0.010859873410201632,direct,5
VSDX_mean__p10,strong_accretion,H12,2025-02,-0.01140974135568057,-0.011602135352138387,-0.010862560413446866,direct,5
VSDX_mean__p10,strong_accretion,H18,2025-08,-0.011461682817520802,-0.011670689606702036,-0.010865247416692099,direct,5
VSDX_mean__p10,strong_accretion,H24,2026-02,-0.011513624279361034,-0.011739243861265736,-0.010867934419937332,direct,5
VSDX_mean__p10,erosion_onset,H6,2024-08,-0.0007893727953807161,-0.0016366992032617544,-0.0002462730918167023,direct,4
VSDX_mean__p10,erosion_onset,H12,2025-02,-0.0009596864749218392,-0.0019186772887842874,-0.00021111835037168245,direct,4
VSDX_mean__p10,erosion_onset,H18,2025-08,-0.0011300001544630733,-0.0022006553743066314,-0.0001759636089266668,direct,4
VSDX_mean__p10,erosion_onset,H24,2026-02,-0.0013003138340041964,-0.002482633459828959,-0.00014080886748167267,direct,4
VSDX_mean__p10,accretion_onset,H6,2024-08,-0.009177324512856869,-0.019511116768063008,0.02030152205185245,direct,4
VSDX_mean__p10,accretion_onset,H12,2025-02,-0.009170762177072037,-0.02335097720339747,0.024114173089573886,direct,4
VSDX_mean__p10,accretion_onset,H18,2025-08,-0.009164199841287204,-0.027190837638730026,0.027926824127293682,direct,4
VSDX_mean__p10,accretion_onset,H24,2026-02,-0.009157637505502369,-0.031030698074062845,0.031739475165015116,direct,4
VHM0_mean__anom_mean,severe_erosion,H6,2024-08,-0.07560507673420602,-0.1836544769055287,-0.011252576510160405,direct,5
VHM0_mean__anom_mean,severe_erosion,H12,2025-02,-0.0941298434300677,-0.21547963393902164,-0.015120511591588004,direct,5
VHM0_mean__anom_mean,severe_erosion,H18,2025-08,-0.11265461012592937,-0.24730479097251462,-0.018988555020381704,direct,5
VHM0_mean__anom_mean,severe_erosion,H24,2026-02,-0.13117937682179104,-0.2791299480060353,-0.02255665695446867,direct,5
VHM0_mean__anom_mean,strong_accretion,H6,2024-08,-0.869723000014702,-0.8697514389738665,1.505955053838693,direct,5
VHM0_mean__anom_mean,strong_accretion,H12,2025-02,-0.8697225278605468,-0.8697572798693469,1.7968548220293257,direct,5
VHM0_mean__anom_mean,strong_accretion,H18,2025-08,-0.8697220557063915,-0.8697631207648274,2.0877545902199586,direct,5
VHM0_mean__anom_mean,strong_accretion,H24,2026-02,-0.8697215835522363,-0.869768961660308,2.3786543584105915,direct,5
VHM0_mean__anom_mean,erosion_onset,H6,2024-08,-0.5729338226478831,-1.1839551482659345,-0.051085922586010475,direct,4
VHM0_mean__anom_mean,erosion_onset,H12,2025-02,-0.7142591383357058,-1.4100240207083317,-0.05144770274498529,direct,4
VHM0_mean__anom_mean,erosion_onset,H18,2025-08,-0.8555844540234148,-1.6360928931507288,-0.05180948290396032,direct,4
VHM0_mean__anom_mean,erosion_onset,H24,2026-02,-0.9969097697112375,-1.862161765593021,-0.052171263062935354,direct,4
VHM0_mean__anom_mean,accretion_onset,H6,2024-08,0.9624878656853753,0.4675995356520543,1.532712701602594,direct,4
VHM0_mean__anom_mean,accretion_onset,H12,2025-02,1.099618518688544,0.4680635010721694,1.7510996220005552,direct,4
VHM0_mean__anom_mean,accretion_onset,H18,2025-08,1.236749171691713,0.4685274664922842,1.96948654239863,direct,4
VHM0_mean__anom_mean,accretion_onset,H24,2026-02,1.3738798246948818,0.4689914319123993,2.1878734627966,direct,4
VHM0_mean__anom_peak_neg,severe_erosion,H6,2024-08,-0.0026192946950232,-1.6046074218311974,0.5171868062593603,direct,5
VHM0_mean__anom_peak_neg,severe_erosion,H12,2025-02,0.15100598460583115,-1.6100546742875148,0.7659781456443397,direct,5
VHM0_mean__anom_peak_neg,severe_erosion,H18,2025-08,0.3046312639066855,-1.6155019267438286,1.0147694850292055,direct,5
VHM0_mean__anom_peak_neg,severe_erosion,H24,2026-02,0.45825654320753983,-1.6209491792001425,1.263560824414185,direct,5
VHM0_mean__anom_peak_neg,strong_accretion,H6,2024-08,-2.6866134697492683,-2.6866861893649765,-2.686613494107404,direct,5
VHM0_mean__anom_peak_neg,strong_accretion,H12,2025-02,-2.6866134697492683,-2.686703220979815,-2.686613505349621,direct,5
VHM0_mean__anom_peak_neg,strong_accretion,H18,2025-08,-2.6866134697492687,-2.6867202525946534,-2.6866135165918386,direct,5
VHM0_mean__anom_peak_neg,strong_accretion,H24,2026-02,-2.6866134697492687,-2.686737284209492,-2.686613527834056,direct,5
VHM0_mean__anom_peak_neg,erosion_onset,H6,2024-08,-1.7591353071567823,-2.00243855785517,-1.5799333415838321,direct,4
VHM0_mean__anom_peak_neg,erosion_onset,H12,2025-02,-1.8149415643183886,-2.093952399655349,-1.580672700406539,direct,4
VHM0_mean__anom_peak_neg,erosion_onset,H18,2025-08,-1.8707478214799949,-2.185466241455532,-1.581357350734047,direct,4
VHM0_mean__anom_peak_neg,erosion_onset,H24,2026-02,-1.9265540786415727,-2.2769800832557636,-1.5815497378761214,direct,4
VHM0_mean__anom_peak_neg,accretion_onset,H6,2024-08,-2.6866133526478317,-3.92834084260449,-0.8115561448483586,direct,4
VHM0_mean__anom_peak_neg,accretion_onset,H12,2025-02,-2.686613416109843,-4.328648717175872,-0.7788727168681738,direct,4
VHM0_mean__anom_peak_neg,accretion_onset,H18,2025-08,-2.686613479571854,-4.7640729032276905,-0.746189288887972,direct,4
VHM0_mean__anom_peak_neg,accretion_onset,H24,2026-02,-2.6866135430338653,-5.23136544238389,-0.7135058609077871,direct,4
