monsoon_year,Change_Class,driver,dominant_range,median_value,threshold_inferred_label,erosion_onset_threshold,accretion_onset_threshold
2020,erosion,northward_wind_mean,0.390 to 1.207,0.7649999856948853,erosion,0.26214622119533293,0.26214622119533293
2020,erosion,uo_mean,-0.025 to 0.138,0.0024414807558059692,erosion,-0.02280248406108948,-0.02280248406108948
2020,erosion,vo_mean,-0.108 to -0.002,-0.028992583975195885,accretion,-0.07440974000235263,-0.07440974000235263
2020,erosion,zos_mean,0.462 to 0.508,0.4829553961753845,erosion,0.5190036924927357,0.5190036924927357
2021,accretion,VHM0_mean,1.260 to 2.103,1.6163601875305176,accretion,1.6713170102576176,1.6713170102576176
2021,accretion,VMDR_mean,191.970 to 211.667,206.04449462890625,erosion,204.77135296335507,204.77135296335507
2021,accretion,VTPK_mean,12.794 to 13.835,13.082792282104492,stable,10.67938289767793,14.299232953639134
2021,accretion,eastward_wind_mean,0.160 to 4.622,2.4200000762939453,erosion,2.5050724220094587,2.5050724220094587
2021,accretion,northward_wind_mean,-0.213 to 0.385,0.09000000357627869,accretion,0.26214622119533293,0.26214622119533293
2021,accretion,uo_mean,-0.185 to 0.063,0.029908139258623123,accretion,-0.02280248406108948,-0.02280248406108948
2021,accretion,vo_mean,-0.113 to 0.059,-0.06195257604122162,accretion,-0.07440974000235263,-0.07440974000235263
2021,accretion,zos_mean,0.443 to 0.601,0.5117954015731812,accretion,0.5190036924927357,0.5190036924927357
2022,accretion,VHM0_mean,1.187 to 2.155,1.6669710874557495,erosion,1.6713170102576176,1.6713170102576176
2022,accretion,VMDR_mean,190.180 to 214.319,204.80264282226562,erosion,204.77135296335507,204.77135296335507
2022,accretion,VTPK_mean,12.189 to 13.402,12.737990379333496,stable,10.67938289767793,14.299232953639134
2022,accretion,eastward_wind_mean,1.162 to 4.978,3.5,accretion,2.5050724220094587,2.5050724220094587
2022,accretion,northward_wind_mean,-0.090 to 0.183,0.11499999463558197,accretion,0.26214622119533293,0.26214622119533293
2022,accretion,uo_mean,-0.012 to 0.167,0.04150517284870148,erosion,-0.02280248406108948,-0.02280248406108948
2022,accretion,vo_mean,-0.132 to -0.045,-0.08301034569740295,erosion,-0.07440974000235263,-0.07440974000235263
2022,accretion,zos_mean,0.467 to 0.568,0.5236976146697998,erosion,0.5190036924927357,0.5190036924927357
2023,stable,VHM0_mean,1.229 to 2.180,1.5643749237060547,accretion,1.6713170102576176,1.6713170102576176
2023,stable,VMDR_mean,186.746 to 217.098,205.2008056640625,erosion,204.77135296335507,204.77135296335507
2023,stable,VTPK_mean,11.974 to 13.212,12.604089736938477,stable,10.67938289767793,14.299232953639134
2023,stable,eastward_wind_mean,1.133 to 5.345,3.125,accretion,2.5050724220094587,2.5050724220094587
2023,stable,northward_wind_mean,-1.002 to 0.228,-0.044999998062849045,accretion,0.26214622119533293,0.26214622119533293
2023,stable,uo_mean,-0.034 to 0.199,0.04119998961687088,erosion,-0.02280248406108948,-0.02280248406108948
2023,stable,vo_mean,-0.198 to -0.022,-0.07995849847793579,erosion,-0.07440974000235263,-0.07440974000235263
2023,stable,zos_mean,0.456 to 0.563,0.4986724257469177,erosion,0.5190036924927357,0.5190036924927357
2024,erosion,VHM0_mean,1.217 to 1.987,1.4342741966247559,erosion,1.6713170102576176,1.6713170102576176
2024,erosion,VMDR_mean,173.382 to 198.361,186.5769805908203,erosion,204.77135296335507,204.77135296335507
2024,erosion,VTPK_mean,12.510 to 13.133,12.982137680053711,stable,10.67938289767793,14.299232953639134
2024,erosion,eastward_wind_mean,0.035 to 4.445,0.9200000166893005,erosion,2.5050724220094587,2.5050724220094587
2024,erosion,northward_wind_mean,0.255 to 0.800,0.36000001430511475,erosion,0.26214622119533293,0.26214622119533293
2024,erosion,uo_mean,-0.086 to 0.211,0.009765923023223877,erosion,-0.02280248406108948,-0.02280248406108948
2024,erosion,vo_mean,-0.144 to 0.018,-0.03357036039233208,accretion,-0.07440974000235263,-0.07440974000235263
2024,erosion,zos_mean,0.440 to 0.519,0.4931791126728058,erosion,0.5190036924927357,0.5190036924927357
