monsoon_year,year_month,VHM0_max,VHM0_mean,VHM0_std,VTPK_max,VTPK_mean,VMDR_mean,StokesDrift_max,StokesDrift_mean,CumWaveEnergy,StormDays_wave,WindSpeed_max,WindSpeed_mean,WindSpeed_std,EastWind_mean,NorthWind_mean,StormDays_wind,CurrentMag_max,CurrentMag_mean,UO_mean,VO_mean,ZOS_max,ZOS_mean
2015,2016-01,,,,,,,,,,,2.07,2.07,,0.3,0.2,0,0.20924217,0.20924217,-0.20508438,0.041505173,0.57222205,0.57222205
2015,2016-02,,,,,,,,,,,2.38,2.38,,-0.33,0.34,0,0.16522214,0.16522214,-0.15686513,0.051881466,0.5365154,0.5365154
2015,2016-03,,,,,,,,,,,2.6,2.6,,-0.07,0.86,0,0.12174553,0.12174553,-0.112308115,0.046998505,0.55818355,0.55818355
2016,2016-04,,,,,,,,,,,2.59,2.59,,0.19,1.46,0,0.08142668,0.08142668,-0.067751095,0.045167394,0.5505539,0.5505539
2016,2016-05,,,,,,,,,,,4.57,4.57,,3.93,0.48,0,0.13630949,0.13630949,0.078127384,-0.11169775,0.5099643,0.5099643
2016,2016-06,,,,,,,,,,,6.25,6.25,,5.99,0.17,0,0.28127143,0.28127143,0.2233955,-0.17090365,0.5218665,0.5218665
2016,2016-07,,,,,,,,,,,5.74,5.74,,5.43,-0.75,0,0.12965734,0.12965734,0.079348125,-0.10254219,0.44740134,0.44740134
2016,2016-08,,,,,,,,,,,6.41,6.41,,6.24,-0.64,0,0.4304114,0.4304114,0.32410657,-0.28321177,0.36988434,0.36988434
2016,2016-09,,,,,,,,,,,5.91,5.91,,5.83,0.15,0,0.24428536,0.24428536,0.17212439,-0.17334513,0.38850063,0.38850063
2016,2016-10,,,,,,,,,,,4.76,4.76,,4.61,-0.4,0,0.2759123,0.2759123,0.20081179,-0.18921477,0.4193243,0.4193243
2016,2016-11,,,,,,,,,,,2.78,2.78,,0.87,-0.46,0,0.16592304,0.16592304,-0.15930662,0.046388134,0.5557421,0.5557421
2016,2016-12,,,,,,,,,,,2.83,2.83,,1.3,-0.5,0,0.23271118,0.23271118,-0.23194067,0.018921476,0.54597616,0.54597616
2016,2017-01,,,,,,,,,,,2.31,2.31,,0.2,-0.05,0,0.25942743,0.25942743,-0.25513473,0.046998505,0.5691702,0.5691702
2016,2017-02,,,,,,,,,,,2.06,2.06,,0.52,0.17,0,0.164,0.164,-0.16052736,0.03357036,0.49867246,0.49867246
2016,2017-03,,,,,,,,,,,2.3,2.3,,-0.25,0.79,0,0.20855467,0.20855467,-0.18738365,0.09155553,0.5182043,0.5182043
2017,2017-04,,,,,,,,,,,3.52,3.52,,3.12,0.01,0,0.17599101,0.17599101,0.13183996,-0.11658071,0.47425765,0.47425765
2017,2017-05,,,,,,,,,,,4.66,4.66,,4.09,0.64,0,0.14990398,0.14990398,0.10132145,-0.110477,0.47425765,0.47425765
2017,2017-06,,,,,,,,,,,5.27,5.27,,5.02,0.58,0,0.36433783,0.36433783,0.2789392,-0.23438215,0.42847988,0.42847988
2017,2017-07,,,,,,,,,,,5.79,5.79,,5.56,-0.12,0,0.44793105,0.44793105,0.34852138,-0.28138065,0.3762932,0.3762932
2017,2017-08,,,,,,,,,,,5.88,5.88,,5.68,-0.34,0,0.36119324,0.36119324,0.28382215,-0.2233955,0.35096285,0.35096285
2017,2017-09,,,,,,,,,,,4.75,4.75,,4.24,0.95,0,0.35416463,0.35416463,0.29663992,-0.19348735,0.36133915,0.36133915
2017,2017-10,,,,,,,,,,,4.44,4.44,,4.09,-0.29,0,0.072387435,0.072387435,-0.06591998,0.02990814,0.44129765,0.44129765
2017,2017-11,,,,,,,,,,,3.64,3.64,,1.57,-0.89,0,0.3346616,0.3346616,-0.28809473,0.17029329,0.5389569,0.5389569
2017,2017-12,,,,,,,,,,,2.43,2.43,,0.86,-0.44,0,0.32794377,0.32794377,-0.31189916,0.10132145,0.5529954,0.5529954
2017,2018-01,,,,,,,,,,,2.23,2.23,,0.53,-0.05,0,0.19501016,0.19501016,-0.19165623,-0.03601184,0.532548,0.532548
2017,2018-02,,,,,,,,,,,1.94,1.94,,0.41,0.21,0,0.2004469,0.2004469,-0.18189031,0.084231086,0.49287394,0.49287394
2017,2018-03,,,,,,,,,,,2.57,2.57,,-0.4,0.3,0,0.14207867,0.14207867,-0.13550219,0.042725913,0.47853023,0.47853023
2018,2018-04,,,,,,,,,,,2.35,2.35,,0.0,0.66,0,0.1643472,0.1643472,-0.15259254,0.06103702,0.51332134,0.51332134
2018,2018-05,,,,,,,,,,,4.44,4.44,,3.58,1.37,0,0.22120678,0.22120678,0.17578661,-0.13428144,0.46845913,0.46845913
2018,2018-06,,,,,,,,,,,5.9,5.9,,5.62,0.9,0,0.4462073,0.4462073,0.3540147,-0.27161473,0.38575396,0.38575396
2018,2018-07,,,,,,,,,,,5.89,5.89,,5.67,-0.77,0,0.40541863,0.40541863,0.31800288,-0.25147253,0.34333324,0.34333324
2018,2018-08,,,,,,,,,,,5.69,5.69,,5.52,-0.78,0,0.26252803,0.26252803,0.16541032,-0.20386365,0.33478805,0.33478805
2018,2018-09,,,,,,,,,,,4.11,4.11,,3.86,0.03,0,0.009296882,0.009296882,-0.0036622211,-0.008545183,0.3994873,0.3994873
2018,2018-10,,,,,,,,,,,3.22,3.22,,2.21,-0.77,0,0.05642211,0.05642211,0.02929777,-0.048219245,0.47761467,0.47761467
2018,2018-11,,,,,,,,,,,2.84,2.84,,0.7,-0.82,0,0.21222019,0.21222019,-0.20325327,0.06103702,0.47456282,0.47456282
2018,2018-12,,,,,,,,,,,2.79,2.79,,0.7,-1.03,0,0.5188599,0.5188599,-0.4852443,0.18372142,0.5706961,0.5706961
2018,2019-01,,,,,,,,,,,2.12,2.12,,0.84,-0.02,0,0.079734534,0.079734534,0.043946654,-0.06653035,0.54628134,0.54628134
2018,2019-02,,,,,,,,,,,2.17,2.17,,-0.2,0.15,0,0.07608357,0.07608357,-0.050660726,-0.056764428,0.516068,0.516068
2018,2019-03,,,,,,,,,,,2.51,2.51,,-0.43,0.63,0,0.07659842,0.07659842,-0.050050355,-0.057985168,0.48249763,0.48249763
2019,2019-04,,,,,,,,,,,2.57,2.57,,1.37,0.71,0,0.036428414,0.036428414,-0.03601184,0.0054933317,0.4730369,0.4730369
2019,2019-05,,,,,,,,,,,4.31,4.31,,3.77,1.55,0,0.16810131,0.16810131,0.12878811,-0.10803552,0.47761467,0.47761467
2019,2019-06,,,,,,,,,,,5.66,5.66,,5.26,1.16,0,0.48676246,0.48676246,0.39368877,-0.2862636,0.45808282,0.45808282
2019,2019-07,,,,,,,,,,,5.05,5.05,,4.5,0.82,0,0.19774486,0.19774486,0.16602069,-0.10742515,0.44892728,0.44892728
2019,2019-08,,,,,,,,,,,5.1,5.1,,4.45,1.35,0,0.21128069,0.21128069,0.17456588,-0.11902219,0.4034547,0.4034547
2019,2019-09,,,,,,,,,,,3.88,3.88,,2.81,1.55,0,0.08607085,0.08607085,0.084231086,-0.017700735,0.46388134,0.46388134
2019,2019-10,,,,,,,,,,,2.83,2.83,,0.66,0.48,0,0.045684077,0.045684077,-0.042115543,-0.017700735,0.48829615,0.48829615
2019,2019-11,,,,,,,,,,,2.5,2.5,,-0.42,0.1,0,0.040450554,0.040450554,-0.0036622211,-0.040284432,0.5038606,0.5038606
2019,2019-12,,,,,,,,,,,2.08,2.08,,-0.77,-0.24,0,0.23276162,0.23276162,-0.22461623,0.06103702,0.49867246,0.49867246
2019,2020-01,,,,,,,,,,,2.27,2.27,,0.1,0.18,0,0.054746497,0.054746497,-0.020752586,-0.050660726,0.5206458,0.5206458
2019,2020-02,,,,,,,,,,,2.46,2.46,,0.06,0.46,0,0.009553805,0.009553805,0.008545183,-0.0042725913,0.5691702,0.5691702
2019,2020-03,,,,,,,,,,,2.79,2.79,,-0.78,0.95,0,0.028216008,0.028216008,-0.017700735,0.021973327,0.53315836,0.53315836
2020,2020-04,,,,,,,,,,,2.59,2.59,,-0.17,0.6,0,0.06450894,0.06450894,0.022583697,-0.06042665,0.5304117,0.5304117
2020,2020-05,,,,,,,,,,,4.76,4.76,,4.34,0.46,0,0.078621745,0.078621745,0.046388134,-0.0634785,0.4626606,0.4626606
2020,2020-06,,,,,,,,,,,5.29,5.29,,5.0,-0.18,0,0.36161792,0.36161792,0.2862636,-0.220954,0.4931791,0.4931791
2020,2020-07,,,,,,,,,,,4.85,4.85,,4.41,0.19,0,0.23576176,0.23576176,0.17761773,-0.15503404,0.42207098,0.42207098
2020,2020-08,,,,,,,,,,,4.71,4.71,,4.54,0.1,0,0.17474611,0.17474611,0.111087374,-0.13489181,0.40314952,0.40314952
2020,2020-09,,,,,,,,,,,5.02,5.02,,4.87,0.49,0,0.078434356,0.078434356,0.038453322,-0.06836146,0.44251838,0.44251838
2020,2020-10,,,,,,,,,,,5.31,5.31,,5.08,-0.64,0,0.11196592,0.11196592,0.03723258,-0.10559404,0.44343394,0.44343394
2020,2020-11,,,,,,,,,,,2.78,2.78,,0.27,-0.31,0,0.27090812,0.27090812,-0.25269327,0.09765923,0.6006043,0.6006043
2020,2020-12,,,,,,,,,,,2.63,2.63,,0.5,-0.55,0,0.32382768,0.32382768,-0.2929777,0.13794366,0.6045717,0.6045717
2020,2021-01,,,,,,,,,,,2.2,2.2,,-0.36,-0.05,0,0.18876334,0.18876334,-0.18250069,0.048219245,0.63234353,0.63234353
2020,2021-02,,,,,,,,,,,2.0,2.0,,0.47,0.08,0,0.21486852,0.21486852,-0.19409773,0.0921659,0.60243535,0.60243535
2020,2021-03,,,,,,,,,,,2.22,2.22,,-0.32,0.36,0,0.105233565,0.105233565,-0.104373306,0.013428144,0.5920591,0.5920591
2021,2021-04,,,,,,,,,,,2.82,2.82,,2.13,0.41,0,0.031122895,0.031122895,-0.028077029,-0.013428144,0.5240028,0.5240028
2021,2021-05,,,,,,,,,,,4.47,4.47,,3.56,0.22,0,0.22681473,0.22681473,0.17212439,-0.14770958,0.5316324,0.5316324
2021,2021-06,,,,,,,,,,,5.53,5.53,,5.31,-0.01,0,0.062011927,0.062011927,-0.006714072,-0.06164739,0.4794458,0.4794458
2021,2021-07,,,,,,,,,,,6.16,6.16,,5.96,-0.44,0,0.29003954,0.29003954,0.22034363,-0.18860438,0.44404432,0.44404432
2021,2021-08,,,,,,,,,,,5.35,5.35,,5.09,0.12,0,0.24744095,0.24744095,0.18066958,-0.16907254,0.41505173,0.41505173
2021,2021-09,,,,,,,,,,,5.19,5.19,,4.94,0.11,0,0.2080315,0.2080315,0.16479996,-0.126957,0.4522843,0.4522843
2021,2021-10,,,,,,,,,,,4.64,4.64,,4.13,-0.24,0,0.06933816,0.06933816,0.041505173,-0.055543687,0.47151098,0.47151098
2021,2021-11,,,,,,,,,,,4.46,4.46,,3.44,-1.33,0,0.13402039,0.13402039,0.08911405,-0.10010071,0.56337166,0.56337166
2021,2021-12,,,,,,,,,,,1.97,1.97,,0.35,-0.04,0,0.36418185,0.36418185,-0.33448285,0.14404736,0.72328866,0.72328866
2021,2022-01,,,,,,,,,,,2.02,2.02,,0.15,0.12,0,0.2680366,0.2680366,-0.24475844,0.10925627,0.6350902,0.6350902
2021,2022-02,,,,,,,,,,,2.01,2.01,,0.36,0.35,0,0.1033402,0.1033402,0.012817774,-0.10254219,0.58046204,0.58046204
2021,2022-03,,,,,,,,,,,3.04,3.04,,1.43,0.17,0,0.07789816,0.07789816,0.041505173,-0.06591998,0.52339244,0.52339244
2022,2022-04,,,,,,,,,,,2.75,2.75,,1.75,0.31,0,0.03453854,0.03453854,0.023804437,-0.025025178,0.51057464,0.51057464
2022,2022-05,,,,,,,,,,,5.91,5.91,,5.61,0.92,0,0.40676126,0.40676126,0.32715842,-0.2417066,0.4809717,0.4809717
2022,2022-06,,,,,,,,,,,5.51,5.51,,5.28,0.2,0,0.40919575,0.40919575,0.32837915,-0.24414808,0.4867702,0.4867702
2022,2022-07,,,,,,,,,,,5.97,5.97,,5.54,-1.27,0,0.25220037,0.25220037,0.17212439,-0.1843318,0.4156621,0.4156621
2022,2022-08,,,,,,,,,,,5.94,5.94,,5.74,-0.22,0,0.3701466,0.3701466,0.28138065,-0.24048585,0.37415692,0.37415692
2022,2022-09,,,,,,,,,,,5.18,5.18,,4.94,0.43,0,0.12236667,0.12236667,0.05859554,-0.10742515,0.42146063,0.42146063
2022,2022-10,,,,,,,,,,,4.93,4.93,,4.44,-1.13,0,0.031086965,0.031086965,-0.021362957,-0.022583697,0.46815392,0.46815392
2022,2022-11,,,,,,,,,,,3.23,3.23,,1.81,-1.48,0,0.1652695,0.1652695,0.0634785,-0.15259254,0.52919096,0.52919096
2022,2022-12,,,,,,,,,,,3.4,3.4,,1.35,-0.96,0,0.07446767,0.07446767,-0.07202368,-0.018921476,0.59846795,0.59846795
2022,2023-01,,,,,,,,,,,2.12,2.12,,0.48,-0.19,0,0.15102191,0.15102191,-0.14160588,0.052491836,0.61342204,0.61342204
2022,2023-02,,,,,,,,,,,2.4,2.4,,0.16,0.1,0,0.22841631,0.22841631,-0.21851254,0.06653035,0.56245613,0.56245613
2022,2023-03,,,,,,,,,,,2.04,2.04,,-0.5,0.19,0,0.055203926,0.055203926,-0.017090365,-0.052491836,0.5630665,0.5630665
2023,2023-04,,,,,,,,,,,2.14,2.14,,0.02,0.8,0,0.08560211,0.08560211,-0.084231086,0.015259255,0.55330056,0.55330056
2023,2023-05,,,,,,,,,,,4.53,4.53,,4.0,0.8,0,0.2078138,0.2078138,0.16113773,-0.1312296,0.4931791,0.4931791
2023,2023-06,,,,,,,,,,,5.41,5.41,,5.25,0.28,0,0.2620934,0.2620934,0.20996734,-0.15686513,0.47212133,0.47212133
2023,2023-07,,,,,,,,,,,5.63,5.63,,5.45,-0.08,0,0.2973781,0.2973781,0.21179846,-0.20874661,0.3704947,0.3704947
2023,2023-08,,,,,,,,,,,5.11,5.11,,4.89,0.61,0,0.26325005,0.26325005,0.23194067,-0.12451552,0.40040284,0.40040284
2023,2023-09,,,,,,,,,,,4.42,4.42,,3.69,1.88,0,0.33057728,0.33057728,0.2844325,-0.16846217,0.43305764,0.43305764
2023,2023-10,,,,,,,,,,,2.57,2.57,,0.92,1.35,0,0.12824312,0.12824312,-0.08789331,0.093386635,0.5206458,0.5206458
2023,2023-11,,,,,,,,,,,2.26,2.26,,0.19,0.36,0,0.080689,0.080689,-0.079348125,-0.014648885,0.50721765,0.50721765
2023,2023-12,,,,,,,,,,,2.63,2.63,,0.05,0.23,0,0.034962013,0.034962013,0.009765923,-0.03357036,0.44770652,0.44770652
2023,2024-01,,,,,,,,,,,2.11,2.11,,-0.12,-0.02,0,0.1257333,0.1257333,-0.12390515,0.021362957,0.5166784,0.5166784
2023,2024-02,,,,,,,,,,,2.23,2.23,,-0.19,0.28,0,0.13106483,0.13106483,-0.12390515,0.042725913,0.54933316,0.54933316
