date,u10,v10,fg10,msl,tp,latitude,longitude,vhm0,vmdr,vtpk,wind_speed,wave_energy,doy_sin,doy_cos,month_sin,month_cos
2011-04-07,-0.23813946672083333,0.7389666233333334,4.020825066666666,101069.56791666667,0.00019065538823166665,6.5,80.0,0.5787500143051147,189.6512451171875,13.168749809265137,0.7763904146824273,0.3349515790581705,0.9951053111006976,-0.09882013873287143,0.8660254037844387,-0.4999999999999998
2011-04-08,0.6168352767083334,0.5606581452083333,3.708338083333333,101093.42749999999,6.800890030833334e-05,6.5,80.0,0.5724999904632568,187.07875061035156,11.337499618530273,0.8335606242981339,0.32775623908042917,0.9932568492674143,-0.11593459959550041,0.8660254037844387,-0.4999999999999998
2011-04-09,0.057562507125000016,1.1459248858333333,3.5805120541666664,101183.835625,0.00011940797143750001,6.5,80.0,0.6725000143051147,180.7362518310547,16.985000610351562,1.1473697251534283,0.45225626924037954,0.9911140639934547,-0.1330147065341959,0.8660254037844387,-0.4999999999999998
2011-04-10,-0.12645594958333334,0.661081950875,3.4578234458333337,101149.96375,0.0001097520186625,6.5,80.0,0.887499988079071,178.19375610351562,16.383750915527344,0.6730679408185466,0.7876562288403512,0.9886775902323405,-0.1500553983446526,0.8660254037844387,-0.4999999999999998
2011-04-11,-0.7662302479166666,0.4403158843333333,4.081198133333333,101048.22125,0.0013254483504583333,6.5,80.0,0.8262500166893005,180.02000427246094,14.018750190734863,0.8837346156050931,0.6826890900790694,0.9859481499638304,-0.16705162550211924,0.8660254037844387,-0.4999999999999998
2011-04-12,0.081276575,0.8552118979166666,3.8737754041666665,101052.47875000001,0.0008916060274066668,6.5,80.0,0.7887499928474426,184.15249633789062,13.095000267028809,0.859065347911297,0.6221265512168408,0.9829265519799822,-0.18399835165768005,0.8660254037844387,-0.4999999999999998
2011-04-13,0.26868184708333337,0.9033902512499999,4.3510513125,101041.135625,0.0009174744467133333,6.5,80.0,0.6725000143051147,183.78875732421875,11.966249465942383,0.9424987432382336,0.45225626924037954,0.9796136916454901,-0.20089055513063506,0.8660254037844387,-0.4999999999999998
2011-04-14,1.5083541900000002,0.09186172641666666,4.1882486000000005,100963.878125,0.00024110078729833333,6.5,80.0,0.637499988079071,186.8800048828125,12.994999885559082,1.5111488805775581,0.4064062348008157,0.9760105506323683,-0.21772323039653177,0.8660254037844387,-0.4999999999999998
2011-04-15,0.9055436476250001,0.04726727208333334,4.226707925,100886.39083333332,0.0002298355102108333,6.5,80.0,0.7487499713897705,200.58250427246094,21.649999618530273,0.906776429316615,0.5606265196561822,0.9721181966290613,-0.23449138957040985,0.8660254037844387,-0.4999999999999998
2011-04-16,-0.3750082525,0.17477925979166667,3.721294541666667,100962.16895833334,0.0005367994345541667,6.5,80.0,1.0099999904632568,198.94500732421875,17.948749542236328,0.4137378144385967,1.020099980735779,0.9679377830240642,-0.25119006388481935,0.8660254037844387,-0.4999999999999998
