valid_time,u10,v10,fg10,msl,sst,tp,latitude,longitude
2026-01-06 04:00:00,-1.4349213,-3.887558,6.4381976,101399.19,,0.00021886826,6.5,80.0
2026-01-06 05:00:00,-1.2481232,-4.0058594,6.4145436,101353.625,,0.00042963028,6.5,80.0
2026-01-06 06:00:00,-1.0154724,-4.214615,6.1220026,101294.75,,0.0011739731,6.5,80.0
2026-01-06 07:00:00,-0.7435913,-4.407547,7.0133967,101191.19,,0.00012683868,6.5,80.0
2026-01-06 08:00:00,-0.80300903,-4.4122467,7.147672,101064.06,,3.6239624e-05,6.5,80.0
2026-01-06 09:00:00,-0.45965576,-4.415451,6.5809174,100964.5,,6.341934e-05,6.5,80.0
2026-01-06 10:00:00,-1.4695282,-4.8546295,7.1276264,100935.06,,0.000102996826,6.5,80.0
2026-01-06 11:00:00,-0.98013306,-3.7662506,7.2934766,100958.5,,0.0002002716,6.5,80.0
2026-01-06 12:00:00,-0.47261047,-2.8773499,6.6155076,101049.06,,0.0004720688,6.5,80.0
2026-01-06 13:00:00,0.18852234,-2.865326,6.199203,101137.44,,0.00028276443,6.5,80.0
2026-01-06 14:00:00,0.55836487,-3.5099487,5.739854,101225.5,,0.00025701523,6.5,80.0
2026-01-06 15:00:00,0.21092224,-4.624756,6.2752743,101299.19,,0.0001707077,6.5,80.0
2026-01-06 16:00:00,-0.061264038,-5.251816,7.138161,101339.125,,7.247925e-05,6.5,80.0
2026-01-06 17:00:00,-0.33241272,-5.509094,7.9117765,101340.06,,4.720688e-05,6.5,80.0
2026-01-06 18:00:00,-0.41926575,-5.5321198,8.422463,101312.0,,9.679794e-05,6.5,80.0
2026-01-06 19:00:00,-0.36125183,-5.67688,8.482094,101264.875,,8.392334e-05,6.5,80.0
2026-01-06 20:00:00,-0.2601776,-5.956375,8.9909525,101211.81,,7.247925e-05,6.5,80.0
2026-01-06 21:00:00,-0.30540466,-6.2079773,9.698699,101117.75,,9.536743e-05,6.5,80.0
2026-01-06 22:00:00,-1.1441803,-5.9983826,10.257176,101043.125,,8.058548e-05,6.5,80.0
2026-01-06 23:00:00,-0.86068726,-5.571121,10.699794,101058.5,,1.5735626e-05,6.5,80.0
2026-01-07 00:00:00,-0.76768494,-5.780609,11.180868,101122.69,,0.0,6.5,80.0
2026-01-07 01:00:00,-0.62384033,-5.745407,11.336889,101187.0,,0.0,6.5,80.0
2026-01-07 02:00:00,-0.6699219,-5.9075317,11.203217,101263.44,,0.0,6.5,80.0
2026-01-07 03:00:00,-0.7402954,-5.8332825,11.121989,101364.19,,0.0,6.5,80.0
2026-01-07 04:00:00,-1.0555725,-5.28389,11.47555,101363.56,,0.0,6.5,80.0
2026-01-07 05:00:00,-1.039505,-4.7645416,11.174776,101346.0,,0.0,6.5,80.0
2026-01-07 06:00:00,-0.70391846,-4.5196533,10.241471,101276.31,,1.4305115e-06,6.5,80.0
2026-01-07 07:00:00,-0.33772278,-4.737503,7.407725,101173.625,,0.0,6.5,80.0
2026-01-07 08:00:00,0.038635254,-5.135849,7.8597593,101031.94,,0.0,6.5,80.0
2026-01-07 09:00:00,0.45176697,-5.4290924,8.179449,100935.625,,0.0,6.5,80.0
2026-01-07 10:00:00,0.7730408,-5.353195,8.549792,100864.19,,0.0,6.5,80.0
2026-01-07 11:00:00,0.5722656,-5.3459015,8.832435,100889.94,,0.0,6.5,80.0
2026-01-07 12:00:00,0.38911438,-5.704941,9.214452,100971.31,,0.0,6.5,80.0
2026-01-07 13:00:00,-0.21983337,-6.2273407,10.080702,101023.125,,0.0,6.5,80.0
2026-01-07 14:00:00,-0.80374146,-6.5024567,10.613896,101138.125,,0.0,6.5,80.0
2026-01-07 15:00:00,-0.84039307,-6.654312,10.523132,101213.06,,0.0,6.5,80.0
2026-01-07 16:00:00,-0.5032959,-6.67778,10.138846,101284.0,,0.0,6.5,80.0
2026-01-07 17:00:00,-0.05177307,-6.4914093,9.856739,101251.44,,0.0,6.5,80.0
2026-01-07 18:00:00,0.33551025,-6.5875854,9.512199,101228.44,,0.0,6.5,80.0
2026-01-07 19:00:00,0.33363342,-6.8946686,10.321198,101195.0,,9.536743e-07,6.5,80.0
2026-01-07 20:00:00,0.21762085,-6.890335,10.472763,101161.875,,1.4305115e-06,6.5,80.0
2026-01-07 21:00:00,0.49916077,-6.9981537,10.495348,101115.625,,2.3841858e-06,6.5,80.0
2026-01-07 22:00:00,0.065719604,-6.1387177,11.062383,101067.75,,9.536743e-07,6.5,80.0
2026-01-07 23:00:00,-0.46044922,-5.351166,11.466024,101124.75,,0.0,6.5,80.0
2026-01-08 00:00:00,-0.47016907,-5.352585,11.499311,101192.81,,4.7683716e-07,6.5,80.0
2026-01-08 01:00:00,-0.64320374,-5.356613,11.26946,101270.375,,0.0,6.5,80.0
2026-01-08 02:00:00,-0.58166504,-5.496582,11.060885,101325.375,,8.106232e-06,6.5,80.0
2026-01-08 03:00:00,-0.45822144,-6.021637,11.37082,101372.31,,5.2452087e-06,6.5,80.0
2026-01-08 04:00:00,-0.3440094,-6.6477356,11.958881,101412.625,,6.67572e-06,6.5,80.0
2026-01-08 05:00:00,-0.38357544,-7.140259,12.187788,101373.125,,4.7683716e-06,6.5,80.0
2026-01-08 06:00:00,-0.5163269,-7.488144,12.301736,101312.69,,2.3841858e-06,6.5,80.0
2026-01-08 07:00:00,-0.7518158,-7.662964,11.669778,101224.94,,9.059906e-06,6.5,80.0
2026-01-08 08:00:00,-0.7380676,-7.7582245,11.709918,101125.125,,7.1525574e-06,6.5,80.0
2026-01-08 09:00:00,-0.88578796,-7.7478027,11.804018,101033.69,,0.0,6.5,80.0
2026-01-08 10:00:00,0.12852478,-6.8240814,11.92285,100979.31,,1.9073486e-06,6.5,80.0
2026-01-08 11:00:00,0.3597107,-6.982666,11.520595,100967.375,,0.0,6.5,80.0
