Segment,Category,Area_m2,Area_hectares,Avg_Shift_m,Segment_Length_m,Signed_Area_m2
T28-T29,Land Loss,32.56,0.0033,-1.66,19.78,-32.56
T29-T30,Land Loss,33.65,0.0034,-1.71,19.76,-33.65
T30-T31,Land Loss,45.96,0.0046,-2.34,19.77,-45.96
T31-T32,Land Loss,42.28,0.0042,-2.15,19.77,-42.28
T32-T33,Land Loss,48.14,0.0048,-2.45,19.78,-48.14
T33-T34,Land Loss,59.18,0.0059,-3.01,19.84,-59.18
T34-T35,Land Loss,56.05,0.0056,-2.85,19.78,-56.05
T35-T36,Land Loss,49.84,0.005,-2.54,19.83,-49.84
T36-T37,Land Loss,40.5,0.0041,-2.06,20.15,-40.5
T37-T38,Land Loss,14.96,0.0015,-0.76,19.86,-14.96
T38-T39,Land Gain,0.8,0.0001,0.04,19.78,0.8
T39-T40,Land Gain,2.89,0.0003,0.15,19.76,2.89
T40-T41,Land Gain,0.6,0.0001,0.03,19.78,0.6
T41-T42,Land Loss,22.33,0.0022,-1.14,19.78,-22.33
T42-T43,Land Loss,45.74,0.0046,-2.33,19.77,-45.74
T43-T44,Land Loss,56.79,0.0057,-2.89,19.78,-56.79
T44-T45,Land Loss,44.61,0.0045,-2.27,20.06,-44.61
T45-T46,Land Loss,45.4,0.0045,-2.31,19.84,-45.4
T46-T47,Land Loss,59.22,0.0059,-3.01,19.77,-59.22
T47-T48,Land Loss,55.26,0.0055,-2.81,19.81,-55.26
T48-T49,Land Loss,56.53,0.0057,-2.88,19.77,-56.53
T49-T50,Land Loss,46.62,0.0047,-2.37,19.86,-46.62
T50-T51,Land Loss,22.23,0.0022,-1.13,20.07,-22.23
T51-T52,Land Gain,0.42,0.0,0.02,19.81,0.42
T52-T53,Land Gain,45.17,0.0045,2.3,20.13,45.17
T53-T54,Land Gain,78.83,0.0079,4.01,19.76,78.83
T54-T55,Land Gain,87.07,0.0087,4.43,19.89,87.07
T55-T56,Land Gain,96.64,0.0097,4.92,19.76,96.64
T56-T57,Land Gain,106.93,0.0107,5.44,19.95,106.93
T57-T58,Land Gain,118.1,0.0118,6.01,19.76,118.1
T58-T59,Land Gain,133.98,0.0134,6.82,19.85,133.98
T59-T60,Land Gain,160.73,0.0161,8.18,19.76,160.73
T60-T61,Land Gain,167.5,0.0168,8.52,19.77,167.5
T61-T62,Land Gain,162.87,0.0163,8.29,19.76,162.87
T62-T63,Land Gain,152.14,0.0152,7.74,19.77,152.14
T63-T64,Land Gain,143.38,0.0143,7.3,19.76,143.38
T64-T65,Land Gain,141.56,0.0142,7.2,19.77,141.56
T65-T66,Land Gain,131.91,0.0132,6.71,19.86,131.91
T66-T67,Land Gain,137.49,0.0137,7.0,19.76,137.49
T67-T68,Land Gain,145.08,0.0145,7.38,19.86,145.08
T68-T69,Land Gain,127.27,0.0127,6.48,19.76,127.27
T69-T70,Land Gain,100.59,0.0101,5.12,19.84,100.59
T70-T71,Land Gain,76.09,0.0076,3.87,19.77,76.09
T71-T72,Land Gain,62.82,0.0063,3.2,19.76,62.82
T72-T73,Land Gain,61.02,0.0061,3.11,19.79,61.02
T73-T74,Land Gain,64.42,0.0064,3.28,19.78,64.42
T74-T75,Land Gain,52.73,0.0053,2.68,19.84,52.73
T75-T76,Land Gain,57.84,0.0058,2.94,19.91,57.84
T76-T77,Land Gain,84.44,0.0084,4.3,19.78,84.44
T77-T78,Land Gain,95.1,0.0095,4.84,19.76,95.1
T78-T79,Land Gain,101.07,0.0101,5.14,19.77,101.07
T79-T80,Land Gain,113.54,0.0114,5.78,19.76,113.54
T80-T81,Land Gain,127.33,0.0127,6.48,19.77,127.33
T81-T82,Land Gain,133.29,0.0133,6.78,19.83,133.29
T82-T83,Land Gain,153.04,0.0153,7.79,19.81,153.04
T83-T84,Land Gain,166.37,0.0166,8.47,19.77,166.37
T84-T85,Land Gain,163.96,0.0164,8.34,19.77,163.96
T85-T86,Land Gain,182.56,0.0183,9.29,19.8,182.56
T86-T87,Land Gain,198.89,0.0199,10.12,19.77,198.89
T87-T88,Land Gain,192.51,0.0193,9.8,19.79,192.51
T88-T89,Land Gain,193.94,0.0194,9.87,19.76,193.94
T89-T90,Land Gain,207.86,0.0208,10.58,19.94,207.86
T90-T91,Land Gain,211.52,0.0212,10.76,19.77,211.52
T91-T92,Land Gain,211.53,0.0212,10.76,19.77,211.53
T92-T93,Land Gain,204.26,0.0204,10.39,19.87,204.26
T93-T94,Land Gain,184.44,0.0184,9.39,19.83,184.44
T94-T95,Land Gain,181.93,0.0182,9.26,19.78,181.93
T95-T96,Land Gain,187.22,0.0187,9.53,19.79,187.22
T96-T97,Land Gain,186.18,0.0186,9.47,19.79,186.18
T97-T98,Land Gain,170.69,0.0171,8.69,19.86,170.69
T98-T99,Land Gain,140.88,0.0141,7.17,19.85,140.88
T99-T100,Land Gain,127.43,0.0127,6.48,19.88,127.43
T100-T101,Land Gain,113.6,0.0114,5.78,20.06,113.6
T101-T102,Land Gain,94.65,0.0095,4.82,19.85,94.65
T102-T103,Land Gain,97.11,0.0097,4.94,19.76,97.11
T103-T104,Land Gain,79.73,0.008,4.06,20.5,79.73
T104-T105,Land Gain,39.28,0.0039,2.0,20.03,39.28
T105-T106,Land Gain,15.95,0.0016,0.81,19.8,15.95
T106-T107,Land Gain,4.08,0.0004,0.21,19.94,4.08
T107-T108,Land Loss,9.92,0.001,-0.5,20.11,-9.92
T108-T109,Land Loss,20.94,0.0021,-1.07,19.89,-20.94
T109-T110,Land Loss,30.01,0.003,-1.53,19.89,-30.01
T110-T111,Land Loss,44.59,0.0045,-2.27,19.8,-44.59
T111-T112,Land Loss,58.61,0.0059,-2.98,19.86,-58.61
T112-T113,Land Loss,77.58,0.0078,-3.95,19.96,-77.58
T113-T114,Land Loss,95.12,0.0095,-4.84,19.77,-95.12
T114-T115,Land Loss,104.74,0.0105,-5.33,19.77,-104.74
T115-T116,Land Loss,103.04,0.0103,-5.24,19.77,-103.04
T116-T117,Land Loss,103.67,0.0104,-5.28,19.78,-103.67
T117-T118,Land Loss,104.88,0.0105,-5.34,19.8,-104.88
T118-T119,Land Loss,101.25,0.0101,-5.15,19.77,-101.25
T119-T120,Land Loss,102.72,0.0103,-5.23,19.78,-102.72
T120-T121,Land Loss,102.09,0.0102,-5.2,19.76,-102.09
T121-T122,Land Loss,113.78,0.0114,-5.79,19.76,-113.78
T122-T123,Land Loss,132.8,0.0133,-6.76,19.76,-132.8
T123-T124,Land Loss,148.53,0.0149,-7.56,19.77,-148.53
T124-T125,Land Loss,165.89,0.0166,-8.44,19.76,-165.89
T125-T126,Land Loss,163.58,0.0164,-8.32,19.81,-163.58
T126-T127,Land Loss,155.85,0.0156,-7.93,19.78,-155.85
T127-T128,Land Loss,138.66,0.0139,-7.06,19.86,-138.66
T128-T129,Land Loss,122.91,0.0123,-6.25,19.93,-122.91
T129-T130,Land Loss,117.09,0.0117,-5.96,19.86,-117.09
T130-T131,Land Loss,104.08,0.0104,-5.3,19.79,-104.08
T131-T132,Land Loss,107.33,0.0107,-5.46,19.78,-107.33
T132-T133,Land Loss,103.35,0.0103,-5.26,19.77,-103.35
T133-T134,Land Loss,95.65,0.0096,-4.87,19.77,-95.65
T134-T135,Land Loss,96.37,0.0096,-4.9,19.77,-96.37
T135-T136,Land Loss,99.05,0.0099,-5.04,19.79,-99.05
T136-T137,Land Loss,94.47,0.0094,-4.81,19.77,-94.47
T137-T138,Land Loss,76.11,0.0076,-3.87,19.79,-76.11
T138-T139,Land Loss,65.41,0.0065,-3.33,19.77,-65.41
T139-T140,Land Loss,52.77,0.0053,-2.69,19.77,-52.77
T140-T141,Land Loss,52.72,0.0053,-2.68,19.99,-52.72
T141-T142,Land Loss,55.62,0.0056,-2.83,19.79,-55.62
T142-T143,Land Loss,45.63,0.0046,-2.32,19.82,-45.63
T143-T144,Land Loss,38.73,0.0039,-1.97,19.8,-38.73
T144-T145,Land Loss,45.74,0.0046,-2.33,19.84,-45.74
T145-T146,Land Loss,76.27,0.0076,-3.88,20.14,-76.27
T146-T147,Land Loss,108.77,0.0109,-5.54,19.84,-108.77
T147-T148,Land Loss,137.46,0.0137,-7.0,19.9,-137.46
T148-T149,Land Loss,159.79,0.016,-8.13,19.8,-159.79
T149-T150,Land Loss,162.03,0.0162,-8.25,19.79,-162.03
T150-T151,Land Loss,135.98,0.0136,-6.92,19.8,-135.98
T151-T152,Land Loss,114.49,0.0114,-5.83,19.85,-114.49
T152-T153,Land Loss,111.98,0.0112,-5.7,19.83,-111.98
T153-T154,Land Loss,116.53,0.0117,-5.93,19.82,-116.53
T154-T155,Land Loss,125.62,0.0126,-6.39,19.77,-125.62
T155-T156,Land Loss,121.38,0.0121,-6.18,19.77,-121.38
T156-T157,Land Loss,125.6,0.0126,-6.39,19.78,-125.6
T157-T158,Land Loss,145.83,0.0146,-7.42,19.86,-145.83
T158-T159,Land Loss,160.04,0.016,-8.14,19.78,-160.04
T159-T160,Land Loss,171.92,0.0172,-8.75,19.78,-171.92
T160-T161,Land Loss,146.14,0.0146,-7.44,19.84,-146.14
T161-T162,Land Loss,91.54,0.0092,-4.66,19.92,-91.54
