Transect,RMSE_deg,MAE_deg,RMSE_m,MAE_m
Transect_31,0.00010616015697715064,9.700654856288632e-05,11.783777424463722,10.76772689048038
Transect_32,8.86597557620137e-05,7.70764719698483e-05,9.841232889583521,8.555488388653162
Transect_33,9.161957022907096e-05,8.09979103412825e-05,10.169772295426876,8.990768047882357
Transect_34,9.991999337727846e-05,8.724504096871197e-05,11.091119264877909,9.684199547527028
Transect_35,9.616299731914855e-05,8.499919559363869e-05,10.674092702425488,9.434910710893895
Transect_36,0.00010020750855334832,9.15518756947401e-05,11.123033449421664,10.162258202116151
Transect_37,9.446040924015644e-05,9.179457881904355e-05,10.485105425657364,10.189198248913835
Transect_38,7.689863029871979e-05,7.514748017600703e-05,8.535747963157897,8.34137029953678
Transect_39,7.45809205743328e-05,7.077596201083853e-05,8.27848218375094,7.856131783203077
Transect_40,8.329151208146867e-05,7.734307902401244e-05,9.245357841043022,8.585081771665381
Transect_41,7.720280798530469e-05,7.457792686625419e-05,8.56951168636882,8.278149882154215
Transect_42,9.320566326534017e-05,8.715365073201371e-05,10.345828622452759,9.674055231253522
Transect_43,9.201352802906527e-05,8.6339007484388e-05,10.213501611226246,9.583629830767068
Transect_44,8.799821484789783e-05,8.05146737157693e-05,9.76780184811666,8.937128782450392
Transect_45,7.39452897357088e-05,6.91873262731605e-05,8.207927160663676,7.679793216320815
Transect_46,7.335148286068779e-05,6.437333856911353e-05,8.142014597536345,7.145440581171601
Transect_47,6.855335457918647e-05,5.974502327461642e-05,7.609422358289698,6.631697583482422
Transect_48,7.016059200864585e-05,6.236380658330831e-05,7.787825712959689,6.922382530747222
Transect_49,5.4711389485234814e-05,4.641381777511372e-05,6.0729642328610645,5.151933773037623
Transect_50,4.075584430233427e-05,3.5369883899392555e-05,4.523898717559104,3.9260571128325736
Transect_51,3.391363133118052e-05,3.093976846857057e-05,3.764413077761038,3.4343143000113328
Transect_52,3.952303808622983e-05,3.352081332842942e-05,4.387057227571511,3.7208102794556654
Transect_53,4.850992417569614e-05,4.20303660257063e-05,5.384601583502271,4.6653706288534
Transect_54,4.4242157217372544e-05,3.5128175197657746e-05,4.910879451128352,3.8992274469400097
Transect_55,4.0127534033996865e-05,3.689114901171484e-05,4.454156277773652,4.094917540300347
Transect_56,3.909814044400326e-05,3.473158325619549e-05,4.339893589284362,3.855205741437699
Transect_57,5.0281806545684984e-05,3.8024080741278376e-05,5.5812805265710335,4.2206729622819
Transect_58,4.7303372908562215e-05,3.737165655080246e-05,5.250674392850406,4.148253877139073
Transect_59,5.696737092516933e-05,4.554418943654976e-05,6.323378172693795,5.055405027457024
Transect_60,6.36741829660089e-05,5.024656675782913e-05,7.0678343092269875,5.577368910119033
Transect_61,7.282753211439893e-05,5.317456630617947e-05,8.083856064698281,5.902376859985921
Transect_62,7.361532383675404e-05,5.398402583901774e-05,8.171300945879699,5.9922268681309685
Transect_63,7.415681745975642e-05,5.723724087516303e-05,8.231406738032963,6.353333737143096
