Segment,Category,Area_m2,Area_hectares,Avg_Shift_m,Segment_Length_m,Signed_Area_m2
T79-T80,Land Gain,61.36,0.0061,3.12,19.76,61.36
T80-T81,Land Gain,83.32,0.0083,4.24,19.77,83.32
T81-T82,Land Gain,108.44,0.0108,5.52,19.83,108.44
T82-T83,Land Gain,149.14,0.0149,7.59,19.81,149.14
T83-T84,Land Gain,168.79,0.0169,8.59,19.77,168.79
T84-T85,Land Gain,176.77,0.0177,9.0,19.77,176.77
T85-T86,Land Gain,196.29,0.0196,9.99,19.8,196.29
T86-T87,Land Gain,200.74,0.0201,10.22,19.77,200.74
T87-T88,Land Gain,171.18,0.0171,8.71,19.79,171.18
T88-T89,Land Gain,157.35,0.0157,8.01,19.76,157.35
T89-T90,Land Gain,149.28,0.0149,7.6,19.94,149.28
T90-T91,Land Gain,125.15,0.0125,6.37,19.77,125.15
T91-T92,Land Gain,115.22,0.0115,5.86,19.77,115.22
T92-T93,Land Gain,104.96,0.0105,5.34,19.87,104.96
T93-T94,Land Gain,86.57,0.0087,4.41,19.83,86.57
T94-T95,Land Gain,91.82,0.0092,4.67,19.78,91.82
T95-T96,Land Gain,110.08,0.011,5.6,19.79,110.08
T96-T97,Land Gain,116.34,0.0116,5.92,19.79,116.34
T97-T98,Land Gain,105.64,0.0106,5.38,19.86,105.64
T98-T99,Land Gain,82.34,0.0082,4.19,19.85,82.34
T99-T100,Land Gain,82.91,0.0083,4.22,19.88,82.91
T100-T101,Land Gain,92.04,0.0092,4.68,20.06,92.04
T101-T102,Land Gain,80.46,0.008,4.09,19.85,80.46
T102-T103,Land Gain,77.21,0.0077,3.93,19.76,77.21
T103-T104,Land Gain,78.28,0.0078,3.98,20.5,78.28
T104-T105,Land Gain,66.32,0.0066,3.38,20.03,66.32
T105-T106,Land Gain,38.81,0.0039,1.97,19.8,38.81
T106-T107,Land Gain,28.04,0.0028,1.43,19.94,28.04
T107-T108,Land Gain,41.46,0.0041,2.11,20.11,41.46
T108-T109,Land Gain,54.58,0.0055,2.78,19.89,54.58
T109-T110,Land Gain,62.15,0.0062,3.16,19.89,62.15
T110-T111,Land Gain,57.48,0.0057,2.93,19.8,57.48
T111-T112,Land Gain,50.24,0.005,2.56,19.86,50.24
T112-T113,Land Gain,40.27,0.004,2.05,19.96,40.27
T113-T114,Land Gain,22.37,0.0022,1.14,19.77,22.37
T114-T115,Land Gain,2.94,0.0003,0.15,19.77,2.94
T115-T116,Land Gain,3.86,0.0004,0.2,19.77,3.86
T116-T117,Land Gain,8.71,0.0009,0.44,19.78,8.71
T117-T118,Land Gain,10.55,0.0011,0.54,19.8,10.55
T118-T119,Land Gain,26.48,0.0026,1.35,19.77,26.48
T119-T120,Land Gain,37.18,0.0037,1.89,19.78,37.18
T120-T121,Land Gain,53.36,0.0053,2.72,19.76,53.36
T121-T122,Land Gain,59.28,0.0059,3.02,19.76,59.28
T122-T123,Land Gain,38.46,0.0038,1.96,19.76,38.46
T123-T124,Land Gain,20.86,0.0021,1.06,19.77,20.86
T124-T125,Land Gain,6.9,0.0007,0.35,19.76,6.9
T125-T126,Land Gain,11.58,0.0012,0.59,19.81,11.58
T126-T127,Land Gain,26.61,0.0027,1.35,19.78,26.61
T127-T128,Land Gain,71.74,0.0072,3.65,19.86,71.74
T128-T129,Land Gain,103.27,0.0103,5.26,19.93,103.27
T129-T130,Land Gain,107.71,0.0108,5.48,19.86,107.71
T130-T131,Land Gain,118.88,0.0119,6.05,19.79,118.88
T131-T132,Land Gain,121.43,0.0121,6.18,19.78,121.43
T132-T133,Land Gain,129.83,0.013,6.61,19.77,129.83
T133-T134,Land Gain,126.33,0.0126,6.43,19.77,126.33
T134-T135,Land Gain,124.27,0.0124,6.32,19.77,124.27
T135-T136,Land Gain,126.31,0.0126,6.43,19.79,126.31
T136-T137,Land Gain,114.99,0.0115,5.85,19.77,114.99
T137-T138,Land Gain,90.34,0.009,4.6,19.79,90.34
T138-T139,Land Gain,51.83,0.0052,2.64,19.77,51.83
T139-T140,Land Gain,38.23,0.0038,1.95,19.77,38.23
T140-T141,Land Gain,19.76,0.002,1.01,19.99,19.76
T141-T142,Land Loss,3.39,0.0003,-0.17,19.79,-3.39
T142-T143,Land Gain,22.6,0.0023,1.15,19.82,22.6
T143-T144,Land Gain,23.89,0.0024,1.22,19.8,23.89
T144-T145,Land Loss,10.03,0.001,-0.51,19.84,-10.03
T145-T146,Land Loss,41.12,0.0041,-2.09,20.14,-41.12
T146-T147,Land Loss,76.72,0.0077,-3.9,19.84,-76.72
T147-T148,Land Loss,106.83,0.0107,-5.44,19.9,-106.83
T148-T149,Land Loss,133.98,0.0134,-6.82,19.8,-133.98
T149-T150,Land Loss,154.61,0.0155,-7.87,19.79,-154.61
T150-T151,Land Loss,127.26,0.0127,-6.48,19.8,-127.26
T151-T152,Land Loss,91.45,0.0091,-4.65,19.85,-91.45
T152-T153,Land Loss,90.38,0.009,-4.6,19.83,-90.38
T153-T154,Land Loss,105.14,0.0105,-5.35,19.82,-105.14
T154-T155,Land Loss,123.33,0.0123,-6.28,19.77,-123.33
T155-T156,Land Loss,127.66,0.0128,-6.5,19.77,-127.66
T156-T157,Land Loss,149.65,0.015,-7.62,19.78,-149.65
T157-T158,Land Loss,175.22,0.0175,-8.92,19.86,-175.22
T158-T159,Land Loss,182.63,0.0183,-9.29,19.78,-182.63
T159-T160,Land Loss,194.9,0.0195,-9.92,19.78,-194.9
T160-T161,Land Loss,155.87,0.0156,-7.93,19.84,-155.87
T161-T162,Land Loss,92.54,0.0093,-4.71,19.92,-92.54
