Segment,Category,Area_m2,Area_hectares,Avg_Shift_m,Segment_Length_m,Signed_Area_m2
T103-T104,Land Gain,61.73,0.0062,3.14,20.5,61.73
T104-T105,Land Gain,30.79,0.0031,1.57,20.03,30.79
T105-T106,Land Gain,7.67,0.0008,0.39,19.8,7.67
T106-T107,Land Loss,1.87,0.0002,-0.1,19.94,-1.87
T107-T108,Land Loss,7.48,0.0007,-0.38,20.11,-7.48
T108-T109,Land Loss,11.92,0.0012,-0.61,19.89,-11.92
T109-T110,Land Loss,15.59,0.0016,-0.79,19.89,-15.59
T110-T111,Land Loss,25.25,0.0025,-1.28,19.8,-25.25
T111-T112,Land Loss,35.51,0.0036,-1.81,19.86,-35.51
T112-T113,Land Loss,51.54,0.0052,-2.62,19.96,-51.54
T113-T114,Land Loss,68.12,0.0068,-3.47,19.77,-68.12
T114-T115,Land Loss,76.91,0.0077,-3.91,19.77,-76.91
T115-T116,Land Loss,72.64,0.0073,-3.7,19.77,-72.64
T116-T117,Land Loss,71.01,0.0071,-3.61,19.78,-71.01
T117-T118,Land Loss,70.11,0.007,-3.57,19.8,-70.11
T118-T119,Land Loss,62.67,0.0063,-3.19,19.77,-62.67
T119-T120,Land Loss,60.06,0.006,-3.06,19.78,-60.06
T120-T121,Land Loss,53.28,0.0053,-2.71,19.76,-53.28
T121-T122,Land Loss,57.82,0.0058,-2.94,19.76,-57.82
T122-T123,Land Loss,74.54,0.0075,-3.79,19.76,-74.54
T123-T124,Land Loss,86.29,0.0086,-4.39,19.77,-86.29
T124-T125,Land Loss,98.32,0.0098,-5.0,19.76,-98.32
T125-T126,Land Loss,95.48,0.0095,-4.86,19.81,-95.48
T126-T127,Land Loss,87.04,0.0087,-4.43,19.78,-87.04
T127-T128,Land Loss,63.24,0.0063,-3.22,19.86,-63.24
T128-T129,Land Loss,42.15,0.0042,-2.14,19.93,-42.15
T129-T130,Land Loss,32.83,0.0033,-1.67,19.86,-32.83
T130-T131,Land Loss,18.06,0.0018,-0.92,19.79,-18.06
T131-T132,Land Loss,15.82,0.0016,-0.81,19.78,-15.82
T132-T133,Land Loss,8.48,0.0008,-0.43,19.77,-8.48
T133-T134,Land Loss,4.24,0.0004,-0.22,19.77,-4.24
T134-T135,Land Loss,2.91,0.0003,-0.15,19.77,-2.91
T135-T136,Land Loss,1.68,0.0002,-0.09,19.79,-1.68
T136-T137,Land Loss,3.19,0.0003,-0.16,19.77,-3.19
T137-T138,Land Loss,1.54,0.0002,-0.08,19.79,-1.54
T138-T139,Land Loss,8.12,0.0008,-0.41,19.77,-8.12
T139-T140,Land Loss,6.34,0.0006,-0.32,19.77,-6.34
T140-T141,Land Loss,14.34,0.0014,-0.73,19.99,-14.34
T141-T142,Land Loss,24.29,0.0024,-1.24,19.79,-24.29
T142-T143,Land Loss,9.1,0.0009,-0.46,19.82,-9.1
T143-T144,Land Loss,3.29,0.0003,-0.17,19.8,-3.29
T144-T145,Land Loss,15.33,0.0015,-0.78,19.84,-15.33
T145-T146,Land Loss,41.94,0.0042,-2.13,20.14,-41.94
T146-T147,Land Loss,70.93,0.0071,-3.61,19.84,-70.93
T147-T148,Land Loss,94.33,0.0094,-4.8,19.9,-94.33
T148-T149,Land Loss,115.22,0.0115,-5.86,19.8,-115.22
T149-T150,Land Loss,121.81,0.0122,-6.2,19.79,-121.81
T150-T151,Land Loss,99.3,0.0099,-5.05,19.8,-99.3
T151-T152,Land Loss,77.62,0.0078,-3.95,19.85,-77.62
T152-T153,Land Loss,76.11,0.0076,-3.87,19.83,-76.11
T153-T154,Land Loss,83.63,0.0084,-4.26,19.82,-83.63
T154-T155,Land Loss,93.63,0.0094,-4.76,19.77,-93.63
T155-T156,Land Loss,92.45,0.0092,-4.7,19.77,-92.45
T156-T157,Land Loss,100.67,0.0101,-5.12,19.78,-100.67
T157-T158,Land Loss,119.71,0.012,-6.09,19.86,-119.71
T158-T159,Land Loss,131.29,0.0131,-6.68,19.78,-131.29
T159-T160,Land Loss,141.43,0.0141,-7.2,19.78,-141.43
T160-T161,Land Loss,117.39,0.0117,-5.97,19.84,-117.39
T161-T162,Land Loss,70.63,0.0071,-3.59,19.92,-70.63
